distrito;subprefeitura;populacao;area;extrema_pobreza;emprego_por_habitante_distrito;emprego_por_habitante_subprefeitura;domicilios_distrito;domicilios_em_favelas_distrito;domicilios_subprefeitura;domicilios_em_favelas_subprefeitura;idh;densidade_populacional_distrito;densidade_populacional_subprefeitura;quadro_analitico;perimetro_de_acao
São Domingos;Pirituba/Jaraguá;86258;10;10649;0,3522;0,1353;28634;12,6;190996;8,92;0,787;0,009;0,011;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PJ.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-PJ.pdf
Mandaqui;Santana/Tucuruvi;109131;13,1;2050;0,2054;0,4361;37767;3,1;112462;1,36;0,869;0,008;0,008;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-ST.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-ST.pdf
Santana;Santana/Tucuruvi;113729;12,6;12708;0,8414;0,4361;41124;0,2;112462;1,36;0,869;0,009;0,008;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-ST.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-ST.pdf
Tucuruvi;Santana/Tucuruvi;96608;9;1274;0,2106;0,4361;33571;0,7;112462;1,36;0,869;0,011;0,008;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-ST.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-ST.pdf
Campo Belo;Santo Amaro;63962;8,8;936;1,2135;1,2619;24295;9,1;88544;4,2;0,909;0,007;0,007;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SA.pdf
Campo Grande;Santo Amaro;106227;13,1;1616;0,5406;1,2619;37220;3,9;88544;4,2;0,909;0,008;0,007;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SA.pdf
Santo Amaro;Santo Amaro;74294;15,6;7801;2,3097;1,2619;27029;0,2;88544;4,2;0,909;0,005;0,007;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SA.pdf
Iguatemi;São Mateus;147514;19,6;15145;0,0525;0,1091;43902;7,9;141598;8,11;0,732;0,008;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/QA-SM.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SM.pdf
São Mateus;São Mateus;155289;13,2;1616;0,2148;0,1091;49729;6,3;141598;8,11;0,732;0,012;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/QA-SM.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SM.pdf
São Rafael;São Mateus;158143;13;1004;0,0526;0,1091;47967;10,2;141598;8,11;0,732;0,012;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/QA-SM.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SM.pdf
